hand_id;timestamp_utc;bb;hero_cards;pot;hero_cev;hero_net_ev;hero_allin_eq
4830738812336340993-1-1781002119;2026-06-09T10:48:39+00:00;20;Kh 2c;180;-10;-10;
4830738812336340993-2-1781002142;2026-06-09T10:49:02+00:00;20;As 8h;216;80;80;
4830738812336340993-3-1781002162;2026-06-09T10:49:22+00:00;20;Ad As;1500;930;724;0.8629
